ID;Name;PluralName;AbbrevName;AbbrevPluralName;EnumID;unitType;value

6;serving;servings;serving;servings;3;quantity;1
3;bunch;bunches;bunch;bunches;12;quantity;
5;pinch;pinches;pinch;pinches;11;quantity;
13;sprig;sprigs;sprig;sprigs;13;quantity;
20;dozen;dozen;dz;dz;20;quantity;12

10;gram;grams;gm;gms;7;mass;1
19;kilogram;kilograms;kg;kgs;19;mass;1000
1;ounce;ounces;oz;ozs;1;mass;28.3495
2;pound;pounds;lb;lbs;10;mass;453.592
4;milligram;milligrams;mg;mgs;2;mass;.001
8;microgram;micrograms;µg;µgs;5;mass;.000001

12;kcal;kcals;kc;kcs;9;energy;1000

7;teaspoon;teaspoons;tsp;tsps;4;volume;4.928917677
9;tablespoon;tablespoons;tbsp;tbsps;6;volume;14.7867578122478
11;cup;cups;c;c;8;volume;240
14;quart;quarts;qt;qts;14;volume;946.353
15;liter;liters;l;l;15;volume;1000
21;centiliter;centiliters;cl;cl;21;volume;10
16;milliliter;milliliters;ml;ml;16;volume;1
17;pint;pints;pt;pt;17;volume;473.176
18;fluid ounce;fluid ounces;fl oz;fl ozs;18;volume;29.5735
